Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/kWhe)
Netherlands,NLD,2023-01-01 00:00:00,2023-01-01 01:00:00,-0.00146
Netherlands,NLD,2023-01-01 01:00:00,2023-01-01 02:00:00,-0.00152
Netherlands,NLD,2023-01-01 02:00:00,2023-01-01 03:00:00,-0.005
Netherlands,NLD,2023-01-01 03:00:00,2023-01-01 04:00:00,-0.0046
Netherlands,NLD,2023-01-01 04:00:00,2023-01-01 05:00:00,-0.00405
Netherlands,NLD,2023-01-01 05:00:00,2023-01-01 06:00:00,-0.0036
Netherlands,NLD,2023-01-01 06:00:00,2023-01-01 07:00:00,0.0
Netherlands,NLD,2023-01-01 07:00:00,2023-01-01 08:00:00,0.0
Netherlands,NLD,2023-01-01 08:00:00,2023-01-01 09:00:00,0.0
Netherlands,NLD,2023-01-01 09:00:00,2023-01-01 10:00:00,0.00099
Netherlands,NLD,2023-01-01 10:00:00,2023-01-01 11:00:00,0.00058
Netherlands,NLD,2023-01-01 11:00:00,2023-01-01 12:00:00,4e-05
Netherlands,NLD,2023-01-01 12:00:00,2023-01-01 13:00:00,0.0
Netherlands,NLD,2023-01-01 13:00:00,2023-01-01 14:00:00,0.00085
Netherlands,NLD,2023-01-01 14:00:00,2023-01-01 15:00:00,0.023530000000000002
Netherlands,NLD,2023-01-01 15:00:00,2023-01-01 16:00:00,0.036539999999999996
Netherlands,NLD,2023-01-01 16:00:00,2023-01-01 17:00:00,0.04603
Netherlands,NLD,2023-01-01 17:00:00,2023-01-01 18:00:00,0.0999
Netherlands,NLD,2023-01-01 18:00:00,2023-01-01 19:00:00,0.054950000000000006
Netherlands,NLD,2023-01-01 19:00:00,2023-01-01 20:00:00,0.062
Netherlands,NLD,2023-01-01 20:00:00,2023-01-01 21:00:00,0.05293
Netherlands,NLD,2023-01-01 21:00:00,2023-01-01 22:00:00,0.04596
Netherlands,NLD,2023-01-01 22:00:00,2023-01-01 23:00:00,0.035
Netherlands,NLD,2023-01-01 23:00:00,2023-01-02 00:00:00,0.10990000000000001
Netherlands,NLD,2023-01-02 00:00:00,2023-01-02 01:00:00,0.09490000000000001
Netherlands,NLD,2023-01-02 01:00:00,2023-01-02 02:00:00,0.05293
Netherlands,NLD,2023-01-02 02:00:00,2023-01-02 03:00:00,0.04416
Netherlands,NLD,2023-01-02 03:00:00,2023-01-02 04:00:00,0.05008
Netherlands,NLD,2023-01-02 04:00:00,2023-01-02 05:00:00,0.07709
Netherlands,NLD,2023-01-02 05:00:00,2023-01-02 06:00:00,0.10507999999999999
Netherlands,NLD,2023-01-02 06:00:00,2023-01-02 07:00:00,0.14064
Netherlands,NLD,2023-01-02 07:00:00,2023-01-02 08:00:00,0.16244
Netherlands,NLD,2023-01-02 08:00:00,2023-01-02 09:00:00,0.18
Netherlands,NLD,2023-01-02 09:00:00,2023-01-02 10:00:00,0.14561000000000002
Netherlands,NLD,2023-01-02 10:00:00,2023-01-02 11:00:00,0.14335
Netherlands,NLD,2023-01-02 11:00:00,2023-01-02 12:00:00,0.14438
Netherlands,NLD,2023-01-02 12:00:00,2023-01-02 13:00:00,0.14376
Netherlands,NLD,2023-01-02 13:00:00,2023-01-02 14:00:00,0.1482
Netherlands,NLD,2023-01-02 14:00:00,2023-01-02 15:00:00,0.15534
Netherlands,NLD,2023-01-02 15:00:00,2023-01-02 16:00:00,0.164
Netherlands,NLD,2023-01-02 16:00:00,2023-01-02 17:00:00,0.18568
Netherlands,NLD,2023-01-02 17:00:00,2023-01-02 18:00:00,0.17474
Netherlands,NLD,2023-01-02 18:00:00,2023-01-02 19:00:00,0.1699
Netherlands,NLD,2023-01-02 19:00:00,2023-01-02 20:00:00,0.153
Netherlands,NLD,2023-01-02 20:00:00,2023-01-02 21:00:00,0.14167
Netherlands,NLD,2023-01-02 21:00:00,2023-01-02 22:00:00,0.13491
Netherlands,NLD,2023-01-02 22:00:00,2023-01-02 23:00:00,0.12422
Netherlands,NLD,2023-01-02 23:00:00,2023-01-03 00:00:00,0.13001
Netherlands,NLD,2023-01-03 00:00:00,2023-01-03 01:00:00,0.12
Netherlands,NLD,2023-01-03 01:00:00,2023-01-03 02:00:00,0.11876
Netherlands,NLD,2023-01-03 02:00:00,2023-01-03 03:00:00,0.115
Netherlands,NLD,2023-01-03 03:00:00,2023-01-03 04:00:00,0.11363
Netherlands,NLD,2023-01-03 04:00:00,2023-01-03 05:00:00,0.11627
Netherlands,NLD,2023-01-03 05:00:00,2023-01-03 06:00:00,0.13892
Netherlands,NLD,2023-01-03 06:00:00,2023-01-03 07:00:00,0.15991999999999998
Netherlands,NLD,2023-01-03 07:00:00,2023-01-03 08:00:00,0.16917
Netherlands,NLD,2023-01-03 08:00:00,2023-01-03 09:00:00,0.17118
Netherlands,NLD,2023-01-03 09:00:00,2023-01-03 10:00:00,0.16857
Netherlands,NLD,2023-01-03 10:00:00,2023-01-03 11:00:00,0.16949
Netherlands,NLD,2023-01-03 11:00:00,2023-01-03 12:00:00,0.1645
Netherlands,NLD,2023-01-03 12:00:00,2023-01-03 13:00:00,0.16091
Netherlands,NLD,2023-01-03 13:00:00,2023-01-03 14:00:00,0.16306
Netherlands,NLD,2023-01-03 14:00:00,2023-01-03 15:00:00,0.16679
Netherlands,NLD,2023-01-03 15:00:00,2023-01-03 16:00:00,0.16657
Netherlands,NLD,2023-01-03 16:00:00,2023-01-03 17:00:00,0.17082
Netherlands,NLD,2023-01-03 17:00:00,2023-01-03 18:00:00,0.16895
Netherlands,NLD,2023-01-03 18:00:00,2023-01-03 19:00:00,0.16099000000000002
Netherlands,NLD,2023-01-03 19:00:00,2023-01-03 20:00:00,0.14962
Netherlands,NLD,2023-01-03 20:00:00,2023-01-03 21:00:00,0.13063
Netherlands,NLD,2023-01-03 21:00:00,2023-01-03 22:00:00,0.11442000000000001
Netherlands,NLD,2023-01-03 22:00:00,2023-01-03 23:00:00,0.09248
Netherlands,NLD,2023-01-03 23:00:00,2023-01-04 00:00:00,0.08006999999999999
Netherlands,NLD,2023-01-04 00:00:00,2023-01-04 01:00:00,0.06844
Netherlands,NLD,2023-01-04 01:00:00,2023-01-04 02:00:00,0.03792
Netherlands,NLD,2023-01-04 02:00:00,2023-01-04 03:00:00,0.0
Netherlands,NLD,2023-01-04 03:00:00,2023-01-04 04:00:00,0.0
Netherlands,NLD,2023-01-04 04:00:00,2023-01-04 05:00:00,0.00633
Netherlands,NLD,2023-01-04 05:00:00,2023-01-04 06:00:00,0.0549
Netherlands,NLD,2023-01-04 06:00:00,2023-01-04 07:00:00,0.08532
Netherlands,NLD,2023-01-04 07:00:00,2023-01-04 08:00:00,0.15
Netherlands,NLD,2023-01-04 08:00:00,2023-01-04 09:00:00,0.146
